year,median_hh_income,avg_hourly_wage,federal_min_wage,median_home_price,median_rent,cpi_index,unemployment_rate,lfp_rate,college_tuition,healthcare_per_cap,real_hourly_wage,real_median_income,real_min_wage,nominal_wage_idx,real_wage_idx,cpi_idx,home_price_to_income,rent_burden_pct,affordable_rent_30pct,rent_gap,hours_for_rent_avg,hours_for_rent_min,tuition_idx,healthcare_idx,w_t,ESI
2000,41990,14.0,5.15,139000,602,172.2,4.0,67.1,3508,4857,14.0,41990.0,5.15,100.0,100.0,100.0,3.310311979042629,17.20409621338414,1049.75,-447.75,43.0,116.89320388349513,100.0,100.0,0.5,100.0
2001,42228,14.54,5.15,147800,613,177.1,4.7,66.8,3766,5035,14.137707509881421,41059.63636363636,5.007509881422925,103.85714285714285,100.98362507058158,102.84552845528457,3.500047361939945,17.419721511793124,1055.7,-442.70000000000005,42.15955983493811,119.02912621359222,107.35461801596351,103.66481367099031,0.4971819645732689,88.5199788379426
2002,42409,14.96,5.15,154700,620,179.9,5.8,66.6,4081,5266,14.319688715953307,40593.828793774315,4.929571984435798,106.85714285714288,102.28349082823792,104.47154471544718,3.6478106062392417,17.54344596665802,1060.225,-440.2249999999999,41.44385026737967,120.3883495145631,116.33409350057013,108.42083590693844,0.4950600108467542,77.86044908012786
2003,43318,15.37,5.15,180200,630,184.0,6.0,66.2,4645,5671,14.384315217391304,40539.997826086954,4.8197282608695655,109.78571428571429,102.74510869565216,106.85249709639955,4.159933514936054,17.452329285747265,1082.95,-452.95000000000005,40.98893949251789,122.33009708737863,132.41163055872292,116.75931645048382,0.4846714991458516,51.80457493386888
2004,44334,15.69,5.15,195200,651,188.9,5.5,66.0,5132,6167,14.302901005823184,40414.583377448376,4.6947061937533086,112.07142857142858,102.16357861302274,109.69802555168411,4.402941309153245,17.62078765732846,1108.35,-457.3499999999999,41.491395793499045,126.40776699029125,146.29418472063853,126.97138151122091,0.47356430730364957,32.038735091990475
2005,46326,16.03,5.15,219600,680,195.3,5.1,66.0,5491,6697,14.133978494623655,40846.58064516129,4.540860215053764,114.5,100.95698924731182,113.41463414634147,4.740318611578811,17.614298665975912,1158.1499999999999,-478.14999999999986,42.42046163443543,132.0388349514563,156.5279361459521,137.88346716079886,0.4532012260933385,12.586749680574293
2006,48201,16.76,5.15,221900,714,201.6,4.6,66.2,5836,7026,14.315833333333334,41171.6875,4.398958333333334,119.71428571428572,102.25595238095238,117.07317073170734,4.6036389286529324,17.775564822306592,1205.0249999999999,-491.02499999999986,42.601431980906916,138.64077669902912,166.36259977194982,144.65719579987646,0.43557187610215553,11.507511605671557
2007,50233,17.43,5.85,217900,747,207.3,4.6,66.0,6185,7421,14.478755426917509,41727.55716353111,4.859479015918957,124.49999999999999,103.41968162083934,120.38327526132406,4.337785917623873,17.844843031473335,1255.825,-508.82500000000005,42.85714285714286,127.6923076923077,176.31128848346634,152.78978793493928,0.4179523420858798,14.698615913576521
2008,52029,18.08,6.55,198100,763,215.3,5.8,66.0,6585,7868,14.46064096609382,41613.53367394333,5.238783093358104,129.14285714285714,103.29029261495586,125.02903600464576,3.807491975628976,17.59787810644064,1300.725,-537.7249999999999,42.20132743362832,116.48854961832062,187.7137970353478,161.9929997941116,0.40352495723538795,25.57185121967899
2009,49777,18.62,7.25,172100,775,214.5,9.3,65.4,7020,8086,14.948083916083917,39960.836363636365,5.8202797202797205,133.0,106.77202797202798,124.5644599303136,3.457420093617534,18.68332764128011,1244.425,-469.42499999999995,41.6219119226638,106.89655172413794,200.11402508551882,166.48136709903233,0.42178114390180205,23.463162771612172
2010,51017,18.82,7.25,177200,779,218.1,9.6,64.7,7605,8402,14.859257221458046,40280.272352132044,5.724209078404401,134.42857142857144,106.1375515818432,126.65505226480838,3.4733520199149304,18.32330399670698,1275.425,-496.42499999999995,41.39213602550478,107.44827586206897,216.7901938426454,172.98744080708258,0.41152949016994333,16.607768869406602
2011,51916,19.47,7.25,166200,792,224.9,8.9,64.1,8244,8680,14.907665629168518,39750.712316585144,5.551133837261005,139.07142857142856,106.48332592263228,130.60394889663183,3.2013252176592957,18.306495107481314,1297.8999999999999,-505.89999999999986,40.67796610169492,109.24137931034483,235.00570125427595,178.7111385628989,0.4044032668156252,16.940108940654337
2012,51017,19.74,7.25,177200,808,229.6,8.1,63.7,8655,9233,14.805,38262.75,5.4375,141.0,105.74999999999999,133.33333333333334,3.4733520199149304,19.005429562694786,1275.425,-467.42499999999995,40.93211752786221,111.44827586206897,246.7217787913341,190.09676755198683,0.41152949016994333,-7.103407183590491
2013,52250,20.13,7.25,197400,818,233.0,7.4,63.2,9139,9695,14.877193133047209,38615.6652360515,5.358154506437768,143.78571428571428,106.2656652360515,135.30778164924507,3.7779904306220096,18.786602870813397,1306.25,-488.25,40.635866865375064,112.82758620689656,260.5188141391106,199.60881202388305,0.4018181818181818,-21.584700776451008
2014,53657,20.62,7.25,208900,833,236.7,6.2,62.9,9410,9990,15.001115335868189,39035.63751584284,5.274397972116604,147.28571428571428,107.15082382762992,137.45644599303134,3.893247852097583,18.62944257040088,1341.425,-508.42499999999995,40.397672162948595,114.89655172413794,268.2440136830103,205.68252007411982,0.3912816594293382,-25.926225122458
2015,56516,21.35,7.25,223900,848,237.0,5.3,62.7,9410,10345,15.512531645569622,41063.524050632914,5.267721518987342,152.5,110.80379746835445,137.63066202090593,3.9617099582419137,18.005520560549225,1412.8999999999999,-564.8999999999999,39.71896955503512,116.96551724137932,268.2440136830103,212.9915585752522,0.3714877202915988,-18.007941173732675
2016,57617,21.79,7.25,235500,862,240.0,4.9,62.8,9650,10800,15.634324999999997,41340.197499999995,5.201874999999999,155.64285714285714,111.67374999999997,139.37282229965157,4.087335335057362,17.95303469462138,1440.425,-578.425,39.559430931620014,118.89655172413794,275.0855188141391,222.35948116121062,0.36438898241838347,-24.53800109242126
2017,61372,22.5,7.25,248800,877,245.1,4.4,62.9,9970,11172,15.8078335373317,43118.14932680538,5.093635250917992,160.71428571428572,112.91309669522643,142.33449477351917,4.05396597797041,17.147885029003454,1534.3,-657.3,38.977777777777774,120.96551724137932,284.20752565564425,230.01852995676342,0.3420941145799387,-16.719826979790277
2018,63179,23.24,7.25,261900,910,251.1,3.9,63.1,10230,11559,15.937586618876939,43327.056152927114,4.9719235364396654,166.0,113.83990442054956,145.81881533101046,4.145364757276943,17.28422418841704,1579.4750000000001,-669.4750000000001,39.1566265060241,125.51724137931035,291.61915621436714,237.98641136504014,0.33230978647968473,-21.38280375652272
2019,68703,24.46,7.25,274600,1013,255.7,3.7,63.3,10440,11582,16.472475557293702,46267.72233085647,4.882479468126711,174.71428571428572,117.66053969495502,148.49012775842044,3.996914254108263,17.693550499978166,1717.5749999999998,-704.5749999999998,41.41455437448896,139.72413793103448,297.6054732041049,238.45995470455014,0.30559073111800067,-8.624243249557608
2020,67521,25.71,7.25,329100,1048,258.8,8.1,61.5,10948,12530,17.106885625965997,44927.03323029366,4.823995363214837,183.64285714285714,122.19204018547141,150.2903600464576,4.874039187808237,18.62531656817879,1688.0249999999999,-640.0249999999999,40.76234928043563,144.55172413793105,312.0866590649943,257.97817582870084,0.3109403000547978,-48.375033804274516
2021,70784,27.07,7.25,408800,1232,271.0,5.4,61.6,11631,13206,17.20093726937269,44977.8774907749,4.606826568265682,193.35714285714286,122.86383763837637,157.37514518002325,5.775316455696203,20.88607594936709,1769.6000000000001,-537.6000000000001,45.51163649796823,169.93103448275863,331.5564424173318,271.89623224212477,0.29660657775768534,-92.6690573476343
2022,74580,29.15,7.25,454900,1322,292.7,3.6,62.2,10940,13500,17.14940211820977,43876.583532627265,4.265288691492996,208.2142857142857,122.49572941578408,169.9767711962834,6.099490480021453,21.271118262268704,1864.5,-542.5,45.3516295025729,182.3448275862069,311.85860889395667,277.9493514515133,0.28150978814695626,-95.13614404039983
2023,77540,31.0,7.25,412500,1426,304.7,3.4,62.6,11300,14050,17.519527404003938,43821.424351821464,4.09730882835576,221.42857142857144,125.13948145717097,176.94541231126598,5.31983492391024,22.06860974980655,1938.5,-512.5,46.0,196.68965517241378,322.12086659064994,289.2732139180564,0.2707634769151406,-75.23127311979101
2024,80610,33.9,7.25,414000,1480,314.2,3.7,62.7,11700,14500,18.57918523233609,44179.00063653724,3.973424570337365,242.14285714285714,132.70846594525779,182.46225319396052,5.135839225902494,22.032005954596205,2015.25,-535.25,43.657817109144545,204.13793103448276,333.52337514253134,298.5381922997735,0.2604515568787992,-63.03188429365371
